method,route,file,line
GET,/almacenes,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,17
GET,/almacenes/{idalmacen},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,59
GET,/almacenes/{idalmacen}/{fechacorte},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,119
GET,/almacenes/historial/detalle/{idingresodetalle},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,320
GET,/tipoalmacenesdetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,481
GET,/ingresos/{idcliente},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,504
GET,/ingresos/pendientes/{idcliente},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,638
GET,/ingresos/reporte/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,771
GET,/ingresos/detalle/{idingreso},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,983
PUT,/ingresos/{idingreso},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1145
POST,/ingresos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2160
POST,/ingresos/{idingreso}/cargamasiva,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2291
POST,/ingresos/{idingreso}/duplicar,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2422
PUT,/ingresos/pendientes/{idsalidadetalle},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2624
POST,/ingresos/pendientes/{idsalida},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2997
GET,/descarga/reporte/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3061
GET,/productos/{idcliente}/{codigo},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3147
PUT,/inter_company/{idingreso},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3204
GET,/ingresos/actaingreso/{idingreso},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3378
GET,/ingresos/constancia/{idingreso},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3425
GET,/salidas/{idcliente},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3472
GET,/salidas/reporte/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3543
GET,/salidas/detalle/{idsalida},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3741
GET,/salidas/detalle/{idsalidadetalle}/imagenes,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3756
GET,/salidas/pendiente/detalle/{idsalidadetalle}/imagenes,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3805
POST,/salidas,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3854
PUT,/salidas/{idsalida},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,4130
PUT,/salidas/accesorios/{idsalidadetalle}/imagenes,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,4843
GET,/salidas/actasalida/{idsalida}/{unidad_salida},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,4923
GET,/salidas/constancia/{idsalida},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,4977
PUT,/salidas/{idsalida}/finalizar,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5030
PUT,/salidas/{idsalida}/habilitar,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5266
GET,/inventario/{idcliente}/{fechacorte}/{corte},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5333
GET,/reporteinventario/{idcliente}/{fechacorte},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5369
GET,/reportemovimientos/{idcliente}/{idingresodetalle}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5392
GET,/reportemovimientosdetalle/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5901
GET,/reportemovimientostienda/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6171
GET,/reporteliquidacion/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6470
GET,/reporteposicionesdia/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6644
GET,/reporteinventariovencimiento/{idcliente}/{fechainicial}/{fechafinal},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6736
POST,/inventario/moverdividir,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6807
PUT,/inventario/ubicaralmacen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7372
POST,/inventario/actualizacionmasiva,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7462
GET,/item/detalle/{idcliente}/{serie},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7703
GET,/pedidos/{idcliente},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7758
GET,/pedidos/detalle/{idpedido},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7870
GET,/pedidos/salidas/{idpedido},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7886
PUT,/pedidos/{idpedido},AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,7907
POST,/pedidos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,8031
POST,/agruparpedidos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,8116
