table,column,definition,nullable,default
f_transporteslg,idpagosdetalle,int NULL DEFAULT NULL,True,True
f_transporteslg,idcasos,int NULL DEFAULT NULL,True,True
f_transporteslg,idciudad,int NULL DEFAULT NULL,True,True
f_transporteslg,carpeta,int NULL DEFAULT NULL,True,True
f_transporteslg,idfacturaplanilla,int NULL DEFAULT NULL,True,True
f_transporteslg,descripcion,varchar(150) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
f_transporteslg,monto,"decimal(13, 2) NULL DEFAULT NULL",True,True
f_transporteslg,nro,varchar(20) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
log_ovp,id,int NOT NULL AUTO_INCREMENT,False,False
log_ovp,TABLA,varchar(50) CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL DEFAULT NULL,True,True
log_ovp,FECHA,datetime NULL DEFAULT NULL,True,True
log_ovp,NOMBRE,varchar(200) CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL DEFAULT NULL,True,True
log_ovp,TEXTO,text CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL,True,False
log_ovp,TIPO,varchar(30) CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL DEFAULT NULL,True,True
log_ovp,IP_USUARIO,varchar(50) CHARACTER SET latin1 COLLATE latin1_swedish_ci NOT NULL,False,False
log_ovp,PC_USUARIO,varchar(150) CHARACTER SET latin1 COLLATE latin1_swedish_ci NOT NULL,False,False
log_ovp,ID_USUARIO,int NOT NULL,False,False
log_ovp,USERNAME,varchar(150) CHARACTER SET latin1 COLLATE latin1_swedish_ci NOT NULL,False,False
log_ovp,FILENAME,varchar(100) CHARACTER SET latin1 COLLATE latin1_swedish_ci NOT NULL,False,False
log_ovp,ACCION,varchar(30) CHARACTER SET latin1 COLLATE latin1_swedish_ci NOT NULL,False,False
log_ovp,JSON,text CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL,True,False
log_ovp,JSONOVP,text CHARACTER SET latin1 COLLATE latin1_swedish_ci NULL,True,False
log_ovp,created_at,datetime NOT NULL,False,False
log_ovp,updated_at,datetime NOT NULL,False,False
pbi_facturacion,my_row_id,bigint UNSIGNED NOT NULL AUTO_INCREMENT,False,False
pbi_facturacion,idfactura,int NOT NULL DEFAULT 0,False,True
pbi_facturacion,cliente,varchar(250) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
pbi_facturacion,fecha,date NULL DEFAULT NULL,True,True
pbi_facturacion,monto,"decimal(13, 2) NULL DEFAULT NULL",True,True
pbi_facturacion,nrofactura,int NULL DEFAULT NULL,True,True
pbi_facturacion,estadofactura,varchar(50) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
pbi_ingresos,my_row_id,bigint UNSIGNED NOT NULL AUTO_INCREMENT,False,False
pbi_ingresos,idingresodetalle,int NULL DEFAULT 0,True,True
pbi_ingresos,idingreso,int NULL DEFAULT NULL,True,True
pbi_ingresos,cliente,varchar(250) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
pbi_ingresos,numeroingreso,varchar(23) CHARACTER SET utf8mb4 COLLATE utf8mb4_0900_ai_ci NULL DEFAULT NULL,True,True
pbi_ingresos,fechaingreso,datetime NULL DEFAULT NULL,True,True
pbi_ingresos,placa,varchar(20) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
pbi_ingresos,contenedor,varchar(20) CHARACTER SET utf8mb3 COLLATE utf8mb3_general_ci NULL DEFAULT NULL,True,True
pbi_ingresos,idtipoingreso,int NULL DEFAULT NULL,True,True
