table,definition
log_ovp,PRIMARY KEY (`id`) USING BTREE
pbi_facturacion,PRIMARY KEY (`my_row_id`) USING BTREE
pbi_ingresos,PRIMARY KEY (`my_row_id`) USING BTREE
pbi_logistico,PRIMARY KEY (`my_row_id`) USING BTREE
pbi_reporte_inventario_fisico,PRIMARY KEY (`my_row_id`) USING BTREE
pbi_salidas,PRIMARY KEY (`my_row_id`) USING BTREE
pbi_vencimientos,PRIMARY KEY (`my_row_id`) USING BTREE
t_accesorios_vehiculos,PRIMARY KEY (`idaccesorios_vehiculos`) USING BTREE
t_accesorios_vehiculos_salidas,PRIMARY KEY (`idaccesorios_vehiculos_salidas`) USING BTREE
t_aduana,PRIMARY KEY (`idaduana`) USING BTREE
t_agentecarga,PRIMARY KEY (`idagentecarga`) USING BTREE
t_agentecargacorreofacturacion,PRIMARY KEY (`idagentecargacorreofacturacion`) USING BTREE
t_agentecargadireccion,PRIMARY KEY (`idagentecargadireccion`) USING BTREE
t_almacen,PRIMARY KEY (`idalmacen`) USING BTREE
t_almacen,CONSTRAINT `idciudad` FOREIGN KEY (`idciudad`) REFERENCES `t_ciudad` (`idciudad`) ON DELETE RESTRICT ON UPDATE RESTRICT
t_almacendetalle,PRIMARY KEY (`idalmacendetalle`) USING BTREE
t_anticipo,PRIMARY KEY (`idanticipo`) USING BTREE
t_ate_gas,PRIMARY KEY (`idate_gas`) USING BTREE
t_ate_gas_etapa,PRIMARY KEY (`idate_gas_etapa`) USING BTREE
t_ate_gas_etapa_imagen,PRIMARY KEY (`idate_gas_etapa_imagen`) USING BTREE
t_ate_gas_etapa_inventario,PRIMARY KEY (`idate_gas_etapa_inventario`) USING BTREE
t_ate_gas_etapa_inventario_imagen,PRIMARY KEY (`idate_gas_etapa_inventario_imagen`) USING BTREE
t_ate_gas_etapa_tecnico,PRIMARY KEY (`idate_gas_etapa_tecnico`) USING BTREE
t_ate_gas_etapa_tecnico_qa,PRIMARY KEY (`idate_gas_etapa_tecnico_qa`) USING BTREE
t_ate_gas_etapa_tiempos,PRIMARY KEY (`idate_gas_etapa_tiempos`) USING BTREE
t_ate_gas_motivo_pausa,PRIMARY KEY (`idate_gas_motivo_pausa`) USING BTREE
t_ate_gas_ubicacion,PRIMARY KEY (`idate_gas_ubicacion`) USING BTREE
t_baseproductos,PRIMARY KEY (`idbaseproductos`) USING BTREE
t_cargo,PRIMARY KEY (`idcargo`) USING BTREE
t_categoriaalmacendetalle,PRIMARY KEY (`idcategoriaalmacendetalle`) USING BTREE
t_centro_rubro,PRIMARY KEY (`idcentro_rubro`) USING BTREE
t_ciudad,PRIMARY KEY (`idciudad`) USING BTREE
t_clasificacion,PRIMARY KEY (`idclasificacion`) USING BTREE
t_cleintemetodotimbrado,PRIMARY KEY (`idcleintemetodotimbrado`) USING BTREE
t_cliente,PRIMARY KEY (`idcliente`) USING BTREE
t_cliente_color,PRIMARY KEY (`idcliente_color`) USING BTREE
t_cliente_no_conf_no_considerar,PRIMARY KEY (`idcliente_no_conf_no_considerar`) USING BTREE
t_clientecorreofacturacion,PRIMARY KEY (`idclientecorreofacturacion`) USING BTREE
t_clientecorreonotificacion,PRIMARY KEY (`idclientecorreonotificacion`) USING BTREE
t_clientecorreovencimientoprm,PRIMARY KEY (`idclientecorreovencimientoprm`) USING BTREE
t_clientediasvencimiento,PRIMARY KEY (`idclientediasvencimiento`) USING BTREE
t_clientedireccion,PRIMARY KEY (`idclientedireccion`) USING BTREE
t_clientegestionlogistica,PRIMARY KEY (`idclientegestionlogistica`) USING BTREE
t_clientereporte,PRIMARY KEY (`idclientereporte`) USING BTREE
t_clienteserviciologistico,PRIMARY KEY (`idclienteserviciologistico`) USING BTREE
t_cobro,PRIMARY KEY (`idcobro`) USING BTREE
t_codigosrecuperarcontrasena,PRIMARY KEY (`idcodigosrecuperarcontrasena`) USING BTREE
t_columnas_moverdividir,PRIMARY KEY (`idcolumnas_moverdividir`) USING BTREE
t_columnas_pedido,PRIMARY KEY (`idcolumnas_pedido`) USING BTREE
t_concepto,PRIMARY KEY (`idconcepto`) USING BTREE
t_consideraciones,PRIMARY KEY (`idconsideraciones`) USING BTREE
t_contemplacion,PRIMARY KEY (`idcontemplacion`) USING BTREE
t_contrasenamaestra,PRIMARY KEY (`idcontrasenamaestra`) USING BTREE
t_correonit,PRIMARY KEY (`idcorreonit`) USING BTREE
t_correosembarque,PRIMARY KEY (`idcorreosembarque`) USING BTREE
t_costo,PRIMARY KEY (`idcosto`) USING BTREE
t_costocotizacion,PRIMARY KEY (`idcostocotizacion`) USING BTREE
t_cotizacion,PRIMARY KEY (`idcotizacion`) USING BTREE
t_cotizacionconsideraciones,PRIMARY KEY (`idcotizacionconsideraciones`) USING BTREE
t_cotizacioncontemplacion,PRIMARY KEY (`idcotizacioncontemplacion`) USING BTREE
t_cuenta,PRIMARY KEY (`idcuenta`) USING BTREE
t_danios_vehiculos,PRIMARY KEY (`iddanios_vehiculos`) USING BTREE
t_destinocargo,PRIMARY KEY (`iddestinocargo`) USING BTREE
t_devolucion,PRIMARY KEY (`iddevolucion`) USING BTREE
t_devoluciondetalle,PRIMARY KEY (`iddevoluciondetalle`) USING BTREE
t_dias_creacion_entrega,"PRIMARY KEY (`iddias_creacion_entrega`, `idcliente`, `contrato_no`, `tienda`, `dia_creacion`, `dia_entrega`) USING BTREE"
t_diasemana,PRIMARY KEY (`iddiasemana`) USING BTREE
t_diasvencimiento,PRIMARY KEY (`iddiasvencimiento`) USING BTREE
t_divisa,PRIMARY KEY (`iddivisa`) USING BTREE
t_divisaordenservicio,PRIMARY KEY (`iddivisaordenservicio`) USING BTREE
t_doc_errada,PRIMARY KEY (`iddoc_errada`) USING BTREE
t_dosificacion,PRIMARY KEY (`iddosificacion`) USING BTREE
t_embalaje,PRIMARY KEY (`idembalaje`) USING BTREE
t_embarque,PRIMARY KEY (`idembarque`) USING BTREE
t_empresa,PRIMARY KEY (`idempresa`) USING BTREE
t_empresadivisa,PRIMARY KEY (`idempresadivisa`) USING BTREE
t_estado_etapa,PRIMARY KEY (`idestado_etapa`) USING BTREE
t_estadofactura,PRIMARY KEY (`idestadofactura`) USING BTREE
t_etapa,PRIMARY KEY (`idetapa`) USING BTREE
t_evento,PRIMARY KEY (`idevento`) USING BTREE
t_eventocotizacion,PRIMARY KEY (`ideventocotizacion`) USING BTREE
t_eventodescripcion,PRIMARY KEY (`ideventodescripcion`) USING BTREE
t_factura,PRIMARY KEY (`idfactura`) USING BTREE
t_facturapago,PRIMARY KEY (`idfacturapago`) USING BTREE
t_formapago,PRIMARY KEY (`idformapago`) USING BTREE
t_horario,PRIMARY KEY (`idhorario`) USING BTREE
t_importacion_exportacion,PRIMARY KEY (`importacion_exportacion`) USING BTREE
t_incobrable,PRIMARY KEY (`idincobrable`) USING BTREE
t_incoterms,PRIMARY KEY (`idincoterms`) USING BTREE
t_ingreso,PRIMARY KEY (`idingreso`) USING BTREE
t_ingresodetalle,PRIMARY KEY (`idingresodetalle`) USING BTREE
t_ingresodetalle_accesorios,PRIMARY KEY (`idingresodetalle_accesorios`) USING BTREE
t_ingresodetallecliente,PRIMARY KEY (`idingresodetallecliente`) USING BTREE
t_inter_company,PRIMARY KEY (`idinter_company`) USING BTREE
t_inter_company_data,PRIMARY KEY (`idinter_company_data`) USING BTREE
t_inter_company_pasos,PRIMARY KEY (`idinter_company_pasos`) USING BTREE
t_inventariofisico,PRIMARY KEY (`idinventariofisico`) USING BTREE
t_inventariofisicoconteo,PRIMARY KEY (`idinventariofisicoconteo`) USING BTREE
t_inventariofisicoconteoimagen,PRIMARY KEY (`idinventariofisicoconteoimagen`) USING BTREE
t_inventariofisicodetalle,PRIMARY KEY (`idinventariofisicodetalle`) USING BTREE
t_inventariofisicodetallearchivo,PRIMARY KEY (`idinventariofisicodetallearchivo`) USING BTREE
t_inventariofisicoetiqueta,PRIMARY KEY (`idinventariofisicoetiqueta`) USING BTREE
t_invoice,PRIMARY KEY (`idinvoice`) USING BTREE
t_mediotransporte,PRIMARY KEY (`idmediotransporte`) USING BTREE
t_menu,PRIMARY KEY (`menu`) USING BTREE
t_merma,PRIMARY KEY (`idmerma`) USING BTREE
t_metodopago,PRIMARY KEY (`idmetodopago`) USING BTREE
t_modulo,PRIMARY KEY (`idmodulo`) USING BTREE
t_motivoanulacion,PRIMARY KEY (`idmotivoanulacion`) USING BTREE
t_movilizador,PRIMARY KEY (`idmovilizador`) USING BTREE
t_no_conf,PRIMARY KEY (`idno_conf`) USING BTREE
t_notadebito,PRIMARY KEY (`idnotadebito`) USING BTREE
t_ordenservicioe,PRIMARY KEY (`idordenservicioe`) USING BTREE
t_ordenservicioi,PRIMARY KEY (`idordenservicioi`) USING BTREE
t_pago,PRIMARY KEY (`idpago`) USING BTREE
t_pagodetalle,PRIMARY KEY (`idpagodetalle`) USING BTREE
t_pagotmp,PRIMARY KEY (`idpagotmp`) USING BTREE
t_pais,PRIMARY KEY (`idpais`) USING BTREE
t_pedido,PRIMARY KEY (`idpedido`) USING BTREE
t_pedidodetalle,PRIMARY KEY (`idpedidodetalle`) USING BTREE
t_pedidodisponibilidad,PRIMARY KEY (`idpedidodisponibilidad`) USING BTREE
t_pedidolog,PRIMARY KEY (`idpedidolog`) USING BTREE
t_pedidopreparacion,PRIMARY KEY (`idpedidopreparacion`) USING BTREE
t_pedidopreparacionsector,PRIMARY KEY (`idpedidopreparacionsector`) USING BTREE
t_pedidotienda,PRIMARY KEY (`idpedidotienda`) USING BTREE
t_pediodetalletienda,PRIMARY KEY (`idpediodetalletienda`) USING BTREE
t_planilla,PRIMARY KEY (`idplanilla`) USING BTREE
t_preciotimbradoproducto,PRIMARY KEY (`idpreciotimbradoproducto`) USING BTREE
t_prestador,PRIMARY KEY (`idprestador`) USING BTREE
t_prestadordireccion,PRIMARY KEY (`idprestadordireccion`) USING BTREE
t_prestadorservicio,PRIMARY KEY (`idprestadorservicio`) USING BTREE
t_producto,PRIMARY KEY (`idproducto`) USING BTREE
t_productomedida,PRIMARY KEY (`idproductomedida`) USING BTREE
t_proveedor,PRIMARY KEY (`idproveedor`) USING BTREE
t_proveedorcorreofacturacion,PRIMARY KEY (`idproveedorcorreofacturacion`) USING BTREE
t_proveedordireccion,PRIMARY KEY (`idproveedordireccion`) USING BTREE
t_referencia_salida,PRIMARY KEY (`idreferencia_salida`) USING BTREE
t_referenciacolor,PRIMARY KEY (`idreferenciacolor`) USING BTREE
t_reporte,PRIMARY KEY (`idreporte`) USING BTREE
t_rubro,PRIMARY KEY (`idrubro`) USING BTREE
t_salida,PRIMARY KEY (`idsalida`) USING BTREE
t_salidadetalle,PRIMARY KEY (`idsalidadetalle`) USING BTREE
t_salidadetalle_accesorios,PRIMARY KEY (`idsalidadetalle_accesorios`) USING BTREE
t_salidadetalle_accesorios_pendiente,PRIMARY KEY (`idsalidadetalle_accesorios_pendiente`) USING BTREE
t_salidadetalleimagen,PRIMARY KEY (`idsalidadetalleimagen`) USING BTREE
t_salidadetalleimagen_pendiente,PRIMARY KEY (`idsalidadetalleimagen_pendiente`) USING BTREE
t_salidadetalleprevio,PRIMARY KEY (`idsalidadetalleprevio`) USING BTREE
