table,line,columns,indexes_or_constraints
f_transporteslg,24,8,0
log_ovp,42,16,1
pbi_facturacion,66,7,1
pbi_ingresos,81,67,1
pbi_logistico,156,25,1
pbi_reporte_inventario_fisico,189,18,1
pbi_salidas,215,52,1
pbi_vencimientos,275,17,1
t_accesorios_vehiculos,300,7,1
t_accesorios_vehiculos_salidas,315,4,1
t_aduana,327,2,1
t_agentecarga,337,14,1
t_agentecargacorreofacturacion,359,3,1
t_agentecargadireccion,370,7,1
t_almacen,385,7,2
t_almacendetalle,402,19,1
t_anticipo,430,11,1
t_ate_gas,449,31,1
t_ate_gas_etapa,490,11,1
t_ate_gas_etapa_imagen,513,8,1
t_ate_gas_etapa_inventario,529,7,1
t_ate_gas_etapa_inventario_imagen,544,9,1
t_ate_gas_etapa_tecnico,561,5,1
t_ate_gas_etapa_tecnico_qa,576,5,1
t_ate_gas_etapa_tiempos,589,10,1
t_ate_gas_motivo_pausa,611,2,1
t_ate_gas_ubicacion,621,6,1
t_baseproductos,635,18,1
t_cargo,661,22,1
t_categoriaalmacendetalle,695,2,1
t_centro_rubro,705,4,1
t_ciudad,717,11,1
t_clasificacion,736,2,1
t_cleintemetodotimbrado,746,5,1
t_cliente,759,47,1
t_cliente_color,815,4,1
t_cliente_no_conf_no_considerar,827,3,1
t_clientecorreofacturacion,838,3,1
t_clientecorreonotificacion,849,6,1
t_clientecorreovencimientoprm,863,3,1
t_clientediasvencimiento,874,4,1
t_clientedireccion,886,7,1
t_clientegestionlogistica,901,16,1
t_clientereporte,925,3,1
t_clienteserviciologistico,936,6,1
t_cobro,950,8,1
t_codigosrecuperarcontrasena,966,5,1
t_columnas_moverdividir,979,4,1
t_columnas_pedido,991,4,1
t_concepto,1003,12,1
t_consideraciones,1023,3,1
t_contemplacion,1034,3,1
t_contrasenamaestra,1045,3,1
t_correonit,1056,4,1
t_correosembarque,1068,3,1
t_costo,1079,19,1
t_costocotizacion,1109,7,1
t_cotizacion,1124,25,1
t_cotizacionconsideraciones,1157,3,1
t_cotizacioncontemplacion,1168,4,1
t_cuenta,1180,5,1
t_danios_vehiculos,1193,2,1
t_destinocargo,1203,2,1
t_devolucion,1213,9,1
t_devoluciondetalle,1230,4,1
t_dias_creacion_entrega,1242,6,1
t_diasemana,1256,2,1
t_diasvencimiento,1266,2,1
t_divisa,1276,3,1
t_divisaordenservicio,1287,3,1
t_doc_errada,1298,2,1
t_dosificacion,1308,12,1
t_embalaje,1328,4,1
t_embarque,1340,56,1
t_empresa,1404,8,1
t_empresadivisa,1420,3,1
t_estado_etapa,1431,2,1
t_estadofactura,1441,3,1
t_etapa,1452,3,1
t_evento,1463,11,1
t_eventocotizacion,1482,7,1
t_eventodescripcion,1497,2,1
t_factura,1507,36,1
