path,component,file,line
,LoginComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,117
login,LoginComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,118
recuperar-contrasena,RecuperarContrasenaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,119
inicio,InicioComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,120
ingresos,IngresosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,122
ingresos-detalle/:idingreso,IngresosDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,123
mover-dividir,MoverDividirComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,124
pedidos,PedidosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,125
pedidos-detalle/:idpedido,PedidosDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,126
salidas,SalidasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,128
salidas-detalle/:idsalida,SalidasDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,129
cambiar-cliente-almacen,CambiarClienteAlmacenComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,130
inventario-fisico,InventarioFisicoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,131
inventario-fisico-detalle/:idinventariofisico,InventarioFisicoDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,132
inventario-fisico-conteo/:idinventariofisico,InventarioFisicoConteoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,133
timbrado,TimbradoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,134
timbrado-detalle/:idtimbrado,TimbradoDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,135
bitacora,BitacoraComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,136
ate-gas,AteGasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,137
asignacion-trabajo,AsignacionTrabajoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,138
gestion-movimiento,GestionMovimientoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,139
estado-pedidos,EstadoPedidosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,140
inventario-vin,InventarioVinComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,141
ate-gas-salidas,AteGasSalidasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,142
cotizaciones,CotizacionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,146
embarques,EmbarquesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,147
embarques-detalle/:idembarque,EmbarquesDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,148
facturas,FacturasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,150
notas-cobranza,NotasCobranzaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,151
ordenes-pago,OrdenesPagoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,152
pagos-agente-exterior,PagosAgenteExteriorComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,153
planillas,PlanillasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,154
invoices,InvoicesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,155
devoluciones,DevolucionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,156
cobros,CobrosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,157
pagos,PagosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,158
devolucion-saldos,DevolucionSaldosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,159
clientes,ClientesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,162
transportistas,TransportistasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,163
agentes-carga,AgentesCargaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,164
proveedores,ProveedoresComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,165
prestadores-servicio,PrestadoresServicioComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,166
productos-cliente,ProductosClienteComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,167
conceptos,ConceptosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,168
usuarios,UsuariosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,169
perfil,PerfilComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,170
almacenes,AlmacenesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,171
almacenes-detalle/:idalmacen,AlmacenesDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,172
ciudades,CiudadesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,173
bancos-cuentas,BancosCuentasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,174
consideraciones,ConsideracionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,175
contemplaciones,ContemplacionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,176
contemplaciones,ContemplacionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,177
divisas,DivisasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,178
tipo-cambio,TipoCambioComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,179
empresa,EmpresaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,180
reporte-almacen-inventario,ReporteAlmacenInventarioComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,184
reporte-almacen-ingresos,ReporteAlmacenIngresosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,185
reporte-almacen-salidas,ReporteAlmacenSalidasComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,186
reporte-almacen-movimiento,ReporteAlmacenMovimientoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,187
reporte-almacen-movimiento-detalle,ReporteAlmacenMovimientoDetalleComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,188
reporte-almacen-posiciones,ReporteAlmacenPosicionesComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,189
reporte-almacen-descarga,ReporteAlmacenDescargaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,190
reporte-almacen-vencimiento,ReporteAlmacenVencimientoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,191
reporte-almacen-noconforme,ReporteAlmacenNoconformeComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,192
reporte-almacen-egreso-tienda,ReporteAlmacenEgresoTiendaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,193
reporte-almacen-productos,ReporteAlmacenProductosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,194
reporte-almacen-liquidacion,ReporteAlmacenLiquidacionComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,195
reporte-almacen-posiciones-dia,ReporteAlmacenPosicionesDiaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,196
reporte-almacen-inventario-vencimiento,ReporteAlmacenInventarioVencimientoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,197
reporte-almacen-pedidos,ReporteAlmacenPedidosComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,198
reporte-almacen-capacidad,ReporteAlmacenCapacidadComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,199
reporte-almacen-inventario-fisico,ReporteAlmacenInventarioFisicoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,200
reporte-almacen-total-conteo,ReporteAlmacenTotalConteoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,201
reporte-almacen-control-inventario-fisico,ReporteAlmacenControlInventarioFisicoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,202
reporte-tiempos-proceso,ReporteTiemposProcesoComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,204
reporte-ate-gas-demanda,ReporteAteGasDemandaComponent,AtlantesFE-main/AtlantesFE-main/src/app/app.routing.ts,205
