service,method,http_method,endpoint_literals,file,line
almacenes.service,veralmacenes,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,18
almacenes.service,veralmacen,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,23
almacenes.service,veralmacenubicaciones,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,28
almacenes.service,vertipoalmacendetalle,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,33
almacenes.service,veringresos,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,38
almacenes.service,veringresos_pendientes,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,43
almacenes.service,guardaraccesoriospendiente,PUT,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,48
almacenes.service,veringreso,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,53
almacenes.service,crearingreso,POST,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,58
almacenes.service,duplicaringreso,POST,/duplicar,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,63
almacenes.service,aprobaringresopendiente,POST,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,68
almacenes.service,guardaringreso,PUT,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,73
almacenes.service,verproducto,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,78
almacenes.service,ingresocargamasiva,POST,/cargamasiva,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,87
almacenes.service,reporteingresos,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,92
almacenes.service,reportedescarga,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,97
almacenes.service,reporteliquidacion,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,102
almacenes.service,reporteposicionesdia,GET,,AtlantesFE-main/AtlantesFE-main/src/app/services/almacenes.service.ts,107
