integration_type,file,line,evidence
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/common.php,49,"@mkdir($dir, 0777, true);"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/common.php,63,$imageData = file_get_contents($srcPath);
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/generarcarpetas.php,241,"mkdir($rutaCompleta, 0777, true);"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,153,"$dirOK = $sftp->mkdir($remoteDir, -1, true);"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,158,"if ($this->sftp_dir_exists($sftp, $relativeDir) || $sftp->mkdir($relativeDir, -1, true)) {"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,197,"if (!@mkdir($destDir, 0775, true)) {"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,213,"private function ftp_mkdir_recursive($ftp, $path)"
filesystem,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,222,"if (!@ftp_mkdir($ftp, $part)) { if ($cwd) @ftp_chdir($ftp, $cwd); return false; }"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,2,class logOVP
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,4,"public function saveLog($parametros,$query,$tipo,$tabla,$accion,$jsonovp,$idusuario,$conexion){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,7,"//$jsonovp= str_replace(""'"", ""\'"", $jsonovp);"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,9,"$querylog = (""INSERT INTO log_ovp (TABLA, FECHA, NOMBRE, TEXTO, TIPO, IP_USUARIO, PC_USUARIO, ID_USUARIO, USERNAME, FILENAME, ACCION, JSON, JSONOVP, created_at,updated_at) VALUES ("
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,22,"'"".str_replace(""'"", ""\'"", json_encode($jsonovp)).""',"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,2,class OVP{
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,4,$this->logOVP = new logOVP();
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,7,"public function agregarpago($idpagos,$estado1,$ciudadovp,$clienteovp,$idusuario,$conexion){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,108,WHEN 1 THEN t_clienteconsignatario.id_OVP
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,113,"END as IdCliente_OVP,"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,129,WHEN 1 THEN 0 -- en 0 porque no hay casos en el historico y no hay codigos OVP
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,130,WHEN 2 THEN t_proveedor.id_OVPProv
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,131,WHEN 3 THEN t_prestador.id_OVPProv
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,132,WHEN 4 THEN t_transportista.id_OVPProv
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,133,WHEN 5 THEN t_agentecarga.id_OVPProv
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,134,"END as id_OVPProv,"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,141,"t_facturapago.errorOVP,"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,144,"t_concepto.id_OVPRef IdReferencia,"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,174,"if (($resultPago->rowCount()) > 0 && $estado1==""ovppago""){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,175,while ($rowOVP =  $resultPago ->fetch(PDO::FETCH_ASSOC)){
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,176,"//$dt =  new DateTime($rowOVP[""fecha""] . "" "" .date('H:i:s', time()));"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,178,$dt->add(new DateInterval('PT' . OVPTIME . 'M'));
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,180,$dt->sub(new DateInterval('PT' . OVPTIME . 'M'));
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,185,"$numeroPago = $rowOVP[""embarque""];"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,188,$parametros['CodigoSeguridad']=codigoSeguridadOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,189,$parametros['login']=userOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,190,$parametros['pwd']=passOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,191,$parametros['BaseDeDatos']=$ciudadovp;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,197,"$parametros['Descripcion']=$rowOVP[""Descripcion""];"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,198,"$parametros['codigoReferencia']=$rowOVP[""IdReferencia""];"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,200,"$parametros['Monto'] = $rowOVP[""Montobs""] - $datosExtra[""montobs""]; // USD: 6.96"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,202,"$parametros['Monto'] = $rowOVP[""Montobs""]; // USD: 6.96"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,204,"$parametros['IdTipoValorOrigen']=($rowOVP[""idtipofacturapago""]==1 ? 208 : 209); //(ID que inician en 2** (203)) // CTA DE TERCEROS // CAMBIAR EN PROD POR EL QUE CORRESPONDE"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,205,"$parametros['IdTipoValorFondosARendir']=107; //$rowOVP[""IdTipoValorFondosARendir""]; // DESPACHOS EN TRANSITO SLG"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,211,"$parametros['IdCliente']=$rowOVP[""IdCliente_OVP""];"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,214,"if ($rowOVP[""idproveedor""] == 31 && $rowOVP[""idcliente""] == 644){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,215,"$rowOVP[""id_OVPProv""] = 50;"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,216,"} elseif ($rowOVP[""idproveedor""] == 44 && $rowOVP[""idcliente""] == 644){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,217,"$rowOVP[""id_OVPProv""] = 48;"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,219,"$parametros['IdProveedor']=$rowOVP[""id_OVPProv""];//LISTA DE CONCEPTOS QUE SE USAN EN PLANILLAS (EJ: CAINCO, CNC, SLG, ETC.)"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,222,$result = $clienteovp->RGI_GrabarAsignacion($parametros);
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,228,"$query = (""UPDATE t_facturapago SET outNroAsignacion='$outNroAsignacion', errorOVP=NULL WHERE idfacturapago=$idpagos;"");"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,229,$resultupdateOVP = $conexion->exec($query);
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,231,"$datolog=$this->logOVP->saveLog($parametros,$query,""agregarFactPago"",""t_facturapago"",""UPDATE"",$result,$idusuario,$conexion);"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,242,"$query = (""UPDATE t_facturapago SET errorOVP='$mensajeerror' WHERE idfacturapago=$idpagos;"");"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,243,$resultupdateOVP = $conexion->exec($query);
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,244,"$datolog=$this->logOVP->saveLog($parametros,$query,""errorAgregarFactPago"",""t_facturapago"",""UPDATE"",$result,$idusuario,$conexion);"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,250,"$mensajeerror=""No hay valores para guardar en la OVP."";"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,277,"public function agregarfacturaventa($idfacturaplanilla,$nro,$estado1,$ciudadovp,$clienteovp,$idusuario,$conexion){"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,285,"$resultOVP = $conexion->prepare(""SELECT"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,299,"t_concepto.id_OVP,"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,318,$resultOVP->execute();
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,320,"$ovpDetalle = $conexion->prepare(""SELECT"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,340,t_cliente.id_OVP AS id_OVP
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,352,$ovpDetalle->execute();
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,355,"if($estado1 == ""ovpfactura""){//verificar si puede guardar en ovp"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,356,if (($resultOVP->rowCount()) > 0){
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,357,$detalles = $ovpDetalle->fetch(PDO::FETCH_ASSOC);
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,361,$dt->add(new DateInterval('PT' . OVPTIME . 'M'));
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,363,$dt->sub(new DateInterval('PT' . OVPTIME . 'M'));
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,369,while ($rowOVP =  $resultOVP ->fetch(PDO::FETCH_ASSOC)){
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,374,"'Descripcion' => $rowOVP['concepto']."" "".$rowOVP['notas'],"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,378,"'IdProducto' => $rowOVP['id_OVP'],"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,379,"'Importe' => $rowOVP['subtotal'],"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,381,"'PrecioUnitario' => $rowOVP['subtotal'],"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,387,$parametros['CodigoSeguridad']=codigoSeguridadOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,388,$parametros['login']=userOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,389,$parametros['pwd']=passOVP;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,390,$parametros['BaseDeDatos']=$ciudadovp;
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,402,"'IdCliente'=>$detalles['id_OVP'],"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,440,$result = $clienteovp->GC_GrabarVentasCls($parametros);
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,449,"$idordenovp=$outIdOrdenFactura."" | "".$outNumeroFactura;"
soap_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,452,"$query = (""UPDATE t_factura SET outIdOrdenFactura ='"".$result->outIdOrdenFactura.""',outNumeroFactura ='"".$result->outNumeroFactura.""',outCodigoDeControl ='"".$result->outCodigoDeControl.""',outNumeroAutorizacion ='"".$result->outNumeroAutoriza"
