table,file,select,join,insert,update,delete,total_refs
1,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/bindings/tcpdf/qrcode.php,2,0,0,0,0,2
Composer,AtlantesBE-main/AtlantesBE-main/scripts/strip-phpunit-eager-load.php,1,0,0,0,0,1
PAC_PARAM_FACTURAS,AtlantesBE-main/AtlantesBE-main/app/functions/generarcodigocontrol.php,1,0,0,0,0,1
RESTRICT,almacen.sql,0,0,0,3,0,3
bytes,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/bindings/tcpdf/qrcode.php,2,0,0,0,0,2
dav_aduana,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_anticipos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1,2,0,6,0,9
dav_banco,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,9,12,0,0,0,21
dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,0,0,0,2,0,2
dav_casos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,2,15,0,0,0,17
dav_casos,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_cliente,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,18,0,0,0,18
dav_cliente,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,2,0,0,0,2
dav_cobros,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,0,0,18,0,18
dav_concepto,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,6,15,0,0,0,21
dav_concepto,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_dato,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,3,0,0,0,3
dav_documentos,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,3,3,0,0,0,6
dav_facturacomercial,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,2,0,0,0,2
dav_facturaplanilla,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,2,5,0,3,0,10
dav_facturaplanilla,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_facturasdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,1,0,0,0,1
dav_incoterms,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_notasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,5,0,1,0,6
dav_notasdebitodetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1,3,0,0,0,4
dav_pagos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,1,13,0,0,0,14
dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,5,0,0,0,0,5
dav_pagosdetalle,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_pagosovp,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,11,5,7,20,0,43
dav_partidas,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_proveedor,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,2,0,0,0,2
dav_tipoanticipos,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,1,0,0,0,1
dav_tiponotasdebito,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,3,0,0,0,3
dav_tipotransferencia,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,1,0,0,0,1
dav_transportista,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
dav_unidad,AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,0,1,0,0,0,1
de,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,0,1,0,1
full,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/phpqrcode.php,1,0,0,0,0,1
full,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/tools/merged_header.php,1,0,0,0,0,1
its,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/bindings/tcpdf/qrcode.php,1,0,0,0,0,1
its,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/phpqrcode.php,1,0,0,0,0,1
its,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/qrrscode.php,1,0,0,0,0,1
log_ovp,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,0,0,1,0,0,1
number,AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/bindings/tcpdf/qrcode.php,2,0,0,0,0,2
ocr_prm_atlantes,AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,0,0,1,0,0,1
proxy,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,1,0,0,0,0,1
share,AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,1,0,0,0,0,1
t_accesorios_vehiculos,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,2,0,0,0,2
t_accesorios_vehiculos,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_accesorios_vehiculos_salidas,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_aduana,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_aduana,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,1,0,0,0,1
t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,2,0,0,0,2
t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,22,0,0,0,23
t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,1,0,0,0,1
t_agentecarga,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,4,1,1,0,6
t_agentecarga,almacen.sql,0,4,0,0,0,4
t_agentecargacorreofacturacion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
