path,extension,category,size_bytes,sha256
.gitignore,(none),other,341,ff3457a401e5f43534ccc324bf4563b1c5717629d724d10be692aa5f53bdc68f
almacen.sql,.sql,code,284941,1183fb66b4e8e4881fe18f04d890045b7757d24cc0c3e72ba9dd24ead52643ef
AtlantesBE-main/AtlantesBE-main/.gitignore,(none),other,94,459e21134ed44f8bc6ee460a3bf91881b94689f383457251ae1f40e81e39df4b
AtlantesBE-main/AtlantesBE-main/app/assets/ate_gas_bateria.png,.png,asset,4140,b35e126fe1596950a47ec6d082f6706ed88f09bdc0c69b081dc443e600eabbdc
AtlantesBE-main/AtlantesBE-main/app/assets/ate_gas_combustible.png,.png,asset,10560,086333b797bc53174434cb5023a26f5b2068115dfe7593ea83166101308ae158
AtlantesBE-main/AtlantesBE-main/app/assets/ate_gas_refrigeracion.png,.png,asset,6172,ae1be34a04ac7e7884f987dd197bfbd485e6063cc79ce2e273bd11fcf7fcd250
AtlantesBE-main/AtlantesBE-main/app/assets/banner.png,.png,asset,24116,0364518cc3777d69f198d57a5f53dee991b740fd267969658eae8e704bee9bd5
AtlantesBE-main/AtlantesBE-main/app/assets/cotizaciontransporte.png,.png,asset,79518,1016efc7f9c8bf4872d3c1bbd5bebc2cf8bb3f4c04cadc81f49c873749e17f34
AtlantesBE-main/AtlantesBE-main/app/assets/Logo SLG Backup.png,.png,asset,48614,7fdf0a448fbca52c6936ef22bb97df5f77d8148b9e15a844d1371370d122eb6b
AtlantesBE-main/AtlantesBE-main/app/assets/Logo SLG.png,.png,asset,74164,c0736ef334cafcfe736471c42cb6849ac5743f8da8900932863813a2a9acf120
AtlantesBE-main/AtlantesBE-main/app/assets/logo.png,.png,asset,32554,31c445b67f6c421c85b51face1af88dff90c13f1b99674dcb89b5377d8e4abef
AtlantesBE-main/AtlantesBE-main/app/assets/logo_asgard.png,.png,asset,8308,aa30d192c20a16d2b5fabe441d6016631364ce661d7bdf9d9702ef5f6af79ae4
AtlantesBE-main/AtlantesBE-main/app/assets/logo_asgard_warehouse.png,.png,asset,256979,85d417b097d87f1be36b3dcade3dbda640f51982ebf07be0bf754a93b0c79d1f
AtlantesBE-main/AtlantesBE-main/app/assets/logoC.svg,.svg,asset,2919,c5e283b13b411c8f092787d9bbd80f7348d9e5e19bd628485d1086052a2718af
AtlantesBE-main/AtlantesBE-main/app/assets/LogoSLG.png,.png,asset,48614,7fdf0a448fbca52c6936ef22bb97df5f77d8148b9e15a844d1371370d122eb6b
AtlantesBE-main/AtlantesBE-main/app/files/ActaPedido.xlsx,.xlsx,document,20501,364194a038a28b2664ffba00c7f96813f7c7364c3c9f47254bf594a51a007cb0
AtlantesBE-main/AtlantesBE-main/app/files/FormatoActualizacionMasiva.xlsx,.xlsx,document,11207,1c3342b58811bdf663d2b33e4b12df63688296fc65366424fb37ff9180135a9b
AtlantesBE-main/AtlantesBE-main/app/files/FormatoAteGasMasivo.xlsx,.xlsx,document,9233,a3c679be5068ce0482e9e9983a898bab6ffe9868636ef96c2a8dfe239ddc4cdd
AtlantesBE-main/AtlantesBE-main/app/files/FormatoAteGasSalidasMasivo.xlsx,.xlsx,document,8953,24929109d42df4d0eb11550b05c50d0c26b2da14c3df573404b69be45e19c35f
AtlantesBE-main/AtlantesBE-main/app/files/FormatoIngreso.xlsx,.xlsx,document,15726,1486b597918027fdf5b8518b00f70bac19435e86892c75dfff4906cf540027ad
AtlantesBE-main/AtlantesBE-main/app/files/FormatoInventarioFisico.xlsx,.xlsx,document,13221,b33d546d47529c6932a783d40c24f0e3c0964f1b850681f8fbdb6c9ae70a46c9
AtlantesBE-main/AtlantesBE-main/app/files/FormatoInventarioFisicoMasivo.xlsx,.xlsx,document,13297,6aa1cdd779f57f0ce6c73fb95067fe250cb2b1fa280dbab8e0fd25060fec1ad2
AtlantesBE-main/AtlantesBE-main/app/files/FormatoInventarioFisicoMasivoVehiculos.xlsx,.xlsx,document,10227,ecd8830788df0cb832501dba074099fb273913e0dc1e14fde0eea0bac3fea5b9
AtlantesBE-main/AtlantesBE-main/app/files/FormatoPreparacionPedidos.xlsx,.xlsx,document,11017,db68c57c458f0c10f4dd5f957239e82860926b4ccbea3a295d6d7dfb565abbeb
AtlantesBE-main/AtlantesBE-main/app/files/FormatoProductosCliente.xlsx,.xlsx,document,13606,4ee1372799ce1d456aff22d2bf6736761d6dbc4aecbb46d9bbe115e3a6a210e0
AtlantesBE-main/AtlantesBE-main/app/files/FormatoSalidaMasiva.xlsx,.xlsx,document,10983,0775abfb8bc3ab02205e7884fd170d0f714d59fb40a4e894d6ceb7034c097277
AtlantesBE-main/AtlantesBE-main/app/files/FormatoTimbrado.xlsx,.xlsx,document,9929,bc4110564acbe8f2b5edb6f4a4ea1f27fbd9b0b58e3d03d164fc37cbd27b9283
AtlantesBE-main/AtlantesBE-main/app/files/TomaInventarioFisico.xlsx,.xlsx,document,10795,ca63e853f393831f2e6ffc4b95b49735bfcc2a7dffabd8d23406c4c1c4eaccd7
AtlantesBE-main/AtlantesBE-main/app/files/TomaInventarioFisicoVehiculos.xlsx,.xlsx,document,10827,a099933880b1487c41b043c87ab529202b2cdbdff197e4d57d9c95769ba1cc55
AtlantesBE-main/AtlantesBE-main/app/functions/common.php,.php,code,2101,a4c2011b040ddfb028d0ebce77492576cd3ea7926bd761145d419663700c78c7
AtlantesBE-main/AtlantesBE-main/app/functions/generarcarpetas.php,.php,code,10817,54a4fa920838093384a121d780b1a03e9dbd7ec3030b37cf76c6e0e99a2fba0e
AtlantesBE-main/AtlantesBE-main/app/functions/generarcodigocontrol.php,.php,code,7952,52328c7b2e51320ae6561faf6a2164b9d15cf271974818b15342fd5308b4950e
AtlantesBE-main/AtlantesBE-main/app/functions/integraciones_asgard.php,.php,code,10355,751f6d84429b268d5a17709d493904bdb5b1af20a69d269c7d3324776b645293
AtlantesBE-main/AtlantesBE-main/app/functions/logOVP.php,.php,code,2417,861ef5d21a3b053d3e2c28cef70a50100f12bd5e58f468ccc83bb4b282317e20
AtlantesBE-main/AtlantesBE-main/app/functions/numerosliteral.php,.php,code,6676,9ea137e71935e1ef40f515a10a0bb20a2a8fd583b92309bff250121b3bac5eff
AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,.php,code,135425,b258265918aa9546946a524f9521c7a062feee2e4cddd90a3cd0ace9718dedae
AtlantesBE-main/AtlantesBE-main/app/functions/sendmail.php,.php,code,18116,000daf7705d400b3abe3670283ef682b5ee4d6ac54fe40f76e0fb6dba0f78817
AtlantesBE-main/AtlantesBE-main/app/middleware/jwt.php,.php,code,2741,279d0b2967d3d01d21f782eda1430c60a6769828edad9b3878781ae91b4ce584
AtlantesBE-main/AtlantesBE-main/app/routes.php,.php,code,292,8407b7fe073546d57eaaa85d4f484182cc4a6415af00857e86b97b834250dc82
AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,.php,code,1029054,c063312b41fdc7b85d9fa3ff3c4671a85a9257986fdca659ded41f56c52555af
AtlantesBE-main/AtlantesBE-main/app/routes/asgard.php,.php,code,50549,e4872b629c6495d87f8d2305c38cecdfeb84ac90509d0b2857b1409b86e398ee
AtlantesBE-main/AtlantesBE-main/app/routes/common.php,.php,code,2152,312c763960e95fcbb00eee22364fdf6e2f608df463e87c2021f4e12e173c42ba
AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,.php,code,388726,dcd151636fc2748023fec959c54a5bbf73acc36fe2f887a41d7ac712a4ccd8fb
AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,.php,code,132833,a5d1ef20993fb7ed1787b3b5cd6630d2a4d02f3d86fdc3b3daa2e5a1eaca5707
AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,.php,code,178335,e0b27fef5af961e1fd8b5e09990878e126655a98342f973eaf64d269d22fc4e3
AtlantesBE-main/AtlantesBE-main/app/routes/empresa.php,.php,code,5384,55262c975301268cf5a8518fa0c09f2c0a7ecf987b1497d2c64c092f70e15e7b
AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,.php,code,199169,7866446fa04763432dae5dd95006a2eed984db1b8dae93cfa6e8406ee4339086
AtlantesBE-main/AtlantesBE-main/app/routes/usuarios.php,.php,code,59996,f0361b2128fd7e239ef10312a07a60f0d281e4af1840c4a74f7b75d5ef830736
AtlantesBE-main/AtlantesBE-main/app/services/BlobStorageService.php,.php,code,13826,58b03761dcdaf0b51ee84e70b028b8987084f2db99e5ad9dcc3560a1229ed3fb
AtlantesBE-main/AtlantesBE-main/app/services/DateTimeService.php,.php,code,9737,87ac274387e454b608d470193b99935cc24471277dd8473a3407bbdc3c811ba8
AtlantesBE-main/AtlantesBE-main/app/start.php,.php,code,2737,7712e1d86c75360e4ca0dfa66bcb23f19c3ab40f9b764e6728ff4c6e1267ab92
AtlantesBE-main/AtlantesBE-main/app/views/factura.php,.php,code,7759,4a43d2378d8eee8b81f7f4f34a631e69574dd0e1c41c9a2606d4a2166260a4a7
AtlantesBE-main/AtlantesBE-main/composer.json,.json,code,572,7a0c956627b3c496d2de8a3f94519ea4ae199f0e9c23f0c0ed9c014abc605e62
AtlantesBE-main/AtlantesBE-main/lib/fonts/Tahoma.ttf,.ttf,other,265528,6c699c428b608679c7ade6d9c0ff76664a1b59274c394cf0aba0ee2c33f89848
AtlantesBE-main/AtlantesBE-main/lib/fonts/TAHOMA_0.TTF,.ttf,other,198864,755756c0746c3c2fabe29fc61404f4efcefab88e033bd75959741ff1a930aa49
AtlantesBE-main/AtlantesBE-main/lib/fonts/TAHOMAB0.TTF,.ttf,other,243684,d4808235d09c73e312452ea69db1f18ffd12d4073be1123792f10e2d04f088a0
AtlantesBE-main/AtlantesBE-main/lib/fonts/TAHOMABD.TTF,.ttf,other,692616,654bfbce006566a5ef007d1fb16fced89f3c813ec79afdb7882d3a85a0a87470
AtlantesBE-main/AtlantesBE-main/lib/phpqrcode/bindings/tcpdf/qrcode.php,.php,code,82952,74a281421414fccbfe77a1228afae7324c0f057140000cbf95ccefe18b9e9c82
