action,table,file,line
UPDATE,RESTRICT,almacen.sql,395
UPDATE,RESTRICT,almacen.sql,2677
UPDATE,RESTRICT,almacen.sql,2678
JOIN,t_tipoentidad,almacen.sql,3302
JOIN,t_tipoentidad,almacen.sql,3302
JOIN,t_tipoentidad,almacen.sql,3302
JOIN,t_tipoentidad,almacen.sql,3302
JOIN,t_tipoentidad,almacen.sql,3302
JOIN,t_embarque,almacen.sql,3308
JOIN,t_cliente,almacen.sql,3308
JOIN,t_concepto,almacen.sql,3308
JOIN,t_divisa,almacen.sql,3308
JOIN,v_entidades,almacen.sql,3308
JOIN,t_timbradoturno,almacen.sql,3314
JOIN,t_diasemana,almacen.sql,3314
JOIN,t_timbrado,almacen.sql,3314
JOIN,t_cliente,almacen.sql,3314
JOIN,t_embarque,almacen.sql,3330
JOIN,t_concepto,almacen.sql,3331
JOIN,t_factura,almacen.sql,3332
JOIN,t_notadebito,almacen.sql,3333
JOIN,t_tipocambio,almacen.sql,3334
JOIN,t_embarque,almacen.sql,3360
JOIN,t_concepto,almacen.sql,3361
JOIN,t_factura,almacen.sql,3362
JOIN,t_notadebito,almacen.sql,3363
JOIN,t_tipocambio,almacen.sql,3364
INSERT,tmp_cargo,almacen.sql,3387
JOIN,t_concepto,almacen.sql,3399
JOIN,t_factura,almacen.sql,3400
JOIN,t_notadebito,almacen.sql,3401
JOIN,t_tipocambio,almacen.sql,3402
JOIN,t_tipocambio,almacen.sql,3403
INSERT,tmp_costo,almacen.sql,3414
JOIN,t_concepto,almacen.sql,3425
JOIN,t_facturapago,almacen.sql,3426
JOIN,t_tipocambio,almacen.sql,3427
JOIN,t_tipocambio,almacen.sql,3428
INSERT,tmp_balance,almacen.sql,3440
SELECT,tmp_costo,almacen.sql,3447
UPDATE,tmp_balance,almacen.sql,3447
SELECT,tmp_costo,almacen.sql,3448
UPDATE,tmp_balance,almacen.sql,3448
JOIN,t_embarque,almacen.sql,3468
JOIN,t_concepto,almacen.sql,3469
JOIN,t_factura,almacen.sql,3470
JOIN,t_notadebito,almacen.sql,3471
JOIN,t_tipocambio,almacen.sql,3472
JOIN,t_embarque,almacen.sql,3498
JOIN,t_concepto,almacen.sql,3499
JOIN,t_factura,almacen.sql,3500
JOIN,t_notadebito,almacen.sql,3501
JOIN,t_tipocambio,almacen.sql,3502
JOIN,t_embarque,almacen.sql,3528
JOIN,t_factura,almacen.sql,3529
JOIN,t_notadebito,almacen.sql,3530
JOIN,t_tipocambio,almacen.sql,3531
JOIN,t_facturapago,almacen.sql,3557
JOIN,t_embarque,almacen.sql,3558
JOIN,t_tipocambio,almacen.sql,3559
JOIN,t_facturapago,almacen.sql,3584
JOIN,t_embarque,almacen.sql,3585
JOIN,t_tipocambio,almacen.sql,3586
