component,map_file,routes,reads,writes,states
.data_base/asgard.sql,components/4037ce356daa.md,0,5509,850,0
index_archivos/2fa/TwoFaClass.php,components/c0f3dc7e7d28.md,0,2,0,0
index_archivos/DashboardAlicorp.php,components/c80fb4e24c1e.md,0,2,0,0
index_archivos/MPDF57/classes/form.php,components/2a82d49363e4.md,0,0,0,1
index_archivos/MPDF57/mpdf.php,components/372da731fa2c.md,0,0,0,10
index_archivos/MPDF57/mpdfi/filters/FilterASCII85.php,components/fedeed0aafd8.md,0,0,0,2
index_archivos/MenuClass.php,components/9158c16a1765.md,0,4,0,0
index_archivos/PDFMerger-master/tcpdf/include/barcodes/datamatrix.php,components/a6df59adb29d.md,0,0,0,1
index_archivos/PDFMerger-master/tcpdf/tcpdf.php,components/aee876a0515d.md,0,0,0,7
index_archivos/PHPExcel/Classes/PHPExcel/CachedObjectStorage/SQLite.php,components/c692660040d4.md,0,5,3,0
index_archivos/PHPExcel/Classes/PHPExcel/CachedObjectStorage/SQLite3.php,components/3076d76ea730.md,0,3,3,0
index_archivos/ajax/DashboardGenerico.php,components/aaabdb2d9731.md,0,5,0,0
index_archivos/ajax/uploadExcelSolicitud.php,components/82793b173413.md,0,0,0,2
index_archivos/asesoria-gestion/views/nueva-solicitud.php,components/25741e99e71e.md,0,1,0,0
index_archivos/bootstrap/js/bootstrap.js,components/07c29e7befb5.md,0,0,0,1
index_archivos/contables/controllers/ContabilidadClass.php,components/5c8c8fe136d8.md,0,37,0,0
index_archivos/controllers/ControlAps.php,components/3caccc665114.md,0,6,0,0
index_archivos/controllers/GlobalClass.php,components/ebbaaee950a4.md,0,23,1,0
index_archivos/controllers/SolicitudClass.php,components/931dd6decd0c.md,0,21,1,0
index_archivos/controllers/VehiculosClass.php,components/4376d13806e2.md,0,23,1,0
index_archivos/coordinadores.php,components/099f0934469e.md,0,4,0,0
index_archivos/documentacion.php,components/665e809802dd.md,0,1,1,0
index_archivos/documentacionaprobado.php,components/4f66bd45099e.md,0,0,1,0
index_archivos/encodeUser.php,components/d50cbd913518.md,0,1,0,0
index_archivos/enviarsolicitud_ajax.php,components/9bba5db83cbc.md,0,1,1,0
index_archivos/finsolicitud.php,components/1ef943244db8.md,0,7,0,0
index_archivos/intercambioDocumental/IntercambioDocumentalClass.php,components/51b06dd05fc8.md,0,24,2,0
index_archivos/intercambioDocumental/Utils/OcrUtil.php,components/1ea9587c8500.md,0,4,4,0
index_archivos/intercambioDocumental/ajax/OCRClass.php,components/e9dfa8b49764.md,0,0,2,0
index_archivos/intercambioDocumental/ajax/dividir-pdf-soat.php,components/1ecc39b1cfd3.md,0,3,0,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-bl.php,components/a436f5fd7045.md,0,0,4,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-falbo.php,components/c065cfc4ff13.md,0,22,0,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-fdab.php,components/345660bc0452.md,0,22,0,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-ft.php,components/c3acc9c3540a.md,0,0,2,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-jennefer.php,components/5be586ac5c8c.md,0,11,0,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-pr.php,components/fb4112e99124.md,0,2,0,0
index_archivos/intercambioDocumental/ajax/lectura-ocr-senavex.php,components/f366bd7c4b71.md,0,7,0,0
index_archivos/intercambioDocumental/ajax/lectura_documentos_iasa.php,components/d5ef87fbe4ef.md,0,5,5,0
index_archivos/intercambioDocumental/js/datosIntercambio.js,components/88dc2e0e1f56.md,0,0,0,3
index_archivos/intercambioDocumentalV2/js/commons.js,components/ab60aad7354c.md,0,0,0,1
index_archivos/jqGrid/cssui/external/jquery/jquery.js,components/401068ba2e83.md,0,0,0,13
index_archivos/jqGrid/js/jqgridExcelExportClientSide-libs.js,components/97dc516f1f72.md,0,0,0,5
index_archivos/jqGrid/js/jquery.jqGrid.src.js,components/fa23c35efca7.md,0,0,0,2
index_archivos/jqGrid/src/grid.formedit.js,components/7d27bc810704.md,0,0,0,2
index_archivos/jqGrid/src/jquery.jqGrid.js,components/c6a0da6d0034.md,0,0,0,2
index_archivos/jqGrid/ui/external/jquery/jquery.js,components/8f04d59050a1.md,0,0,0,13
index_archivos/jquery-ui/external/jquery/jquery.js,components/70304e3417bd.md,0,0,0,13
index_archivos/js/axios.min.js,components/0a89dd4eefbb.md,0,0,0,2
index_archivos/js/datatable/JSZip-2.5.0/jszip.js,components/49d79acf913e.md,0,0,0,35
index_archivos/js/datatable/JSZip-2.5.0/jszip.min.js,components/565a5accad4b.md,0,0,0,12
index_archivos/js/datatable/KeyTable-2.5.1/js/dataTables.keyTable.js,components/07997beb203b.md,0,0,0,1
index_archivos/js/datatable/datatables.js,components/ae102a1b4c62.md,0,0,0,99
index_archivos/js/datatable/datatables.min.js,components/df55c0097599.md,0,0,0,23
index_archivos/js/datatable/pdfmake-0.1.36/pdfmake.js,components/08f2d77fc6fb.md,0,0,0,63
index_archivos/js/datatable/pdfmake-0.1.36/pdfmake.min.js,components/3786e70aeece.md,0,0,0,11
index_archivos/js/ext-all-debug.js,components/a6e59304530e.md,0,0,0,5
index_archivos/js/jquery.easyui.min.js,components/2114a8261007.md,0,0,0,1
index_archivos/js/jquery.js,components/1a01a584e1ba.md,0,0,0,16
index_archivos/js/kendo.web.min.js,components/1cd039cebd38.md,0,0,0,3
index_archivos/js/scripts/knockout-2.2.1.js,components/ce40db8d65d6.md,0,0,0,3
index_archivos/js/spreadsjs/external/angular.1.0.8.js,components/1eee7bb7f97c.md,0,0,0,4
