id,type,label,confidence,source
DATA:CURRENT_TIMESTAMP,data,CURRENT_TIMESTAMP,candidate_or_observed,
DATA:RESTRICT,data,RESTRICT,candidate_or_observed,
DATA:TIMEDIFF,data,TIMEDIFF,candidate_or_observed,
DATA:TMP_ARANCEL,data,TMP_ARANCEL,candidate_or_observed,
DATA:TMP_SALDOINICIAL,data,TMP_SALDOINICIAL,candidate_or_observed,
DATA:UNHS1TAB,data,UNHS1TAB,candidate_or_observed,
DATA:UNHS2TAB,data,UNHS2TAB,candidate_or_observed,
DATA:UNHS4TAB,data,UNHS4TAB,candidate_or_observed,
DATA:UNHS6TAB,data,UNHS6TAB,candidate_or_observed,
DATA:ada_agentesaduana,data,ada_agentesaduana,candidate_or_observed,
DATA:ada_agentescontactos,data,ada_agentescontactos,candidate_or_observed,
DATA:ada_agentesdocumentos,data,ada_agentesdocumentos,candidate_or_observed,
DATA:ada_clienteagenteaduana,data,ada_clienteagenteaduana,candidate_or_observed,
DATA:ada_tipocontactos,data,ada_tipocontactos,candidate_or_observed,
DATA:adaprov_agenteproveedor,data,adaprov_agenteproveedor,candidate_or_observed,
DATA:adaprov_agenteproveedorcontactos,data,adaprov_agenteproveedorcontactos,candidate_or_observed,
DATA:ads_agenteseguro,data,ads_agenteseguro,candidate_or_observed,
DATA:ads_clienteagenteseguro,data,ads_clienteagenteseguro,candidate_or_observed,
DATA:ads_contactos,data,ads_contactos,candidate_or_observed,
DATA:ads_documentos,data,ads_documentos,candidate_or_observed,
DATA:ads_tipocontactos,data,ads_tipocontactos,candidate_or_observed,
DATA:adt_agente_traking,data,adt_agente_traking,candidate_or_observed,
DATA:ages_asesoria_gestion_carpetas,data,ages_asesoria_gestion_carpetas,candidate_or_observed,
DATA:ages_estados,data,ages_estados,candidate_or_observed,
DATA:ages_etapa,data,ages_etapa,candidate_or_observed,
DATA:ages_solicitudes_asesoria_gestion,data,ages_solicitudes_asesoria_gestion,candidate_or_observed,
DATA:ages_tipodeclaracion,data,ages_tipodeclaracion,candidate_or_observed,
DATA:ages_valoracion_costo_parametros,data,ages_valoracion_costo_parametros,candidate_or_observed,
DATA:asgard.dav_casos,data,asgard.dav_casos,candidate_or_observed,
DATA:asgard.dav_casosprevios,data,asgard.dav_casosprevios,candidate_or_observed,
DATA:asgard.logis_embarques,data,asgard.logis_embarques,candidate_or_observed,
DATA:cc_archivos,data,cc_archivos,candidate_or_observed,
DATA:cc_chasis_codigo_documento,data,cc_chasis_codigo_documento,candidate_or_observed,
DATA:cc_mercancias,data,cc_mercancias,candidate_or_observed,
DATA:cc_registro_documentos,data,cc_registro_documentos,candidate_or_observed,
DATA:cc_tipos_documentos,data,cc_tipos_documentos,candidate_or_observed,
DATA:costos_gestion,data,costos_gestion,candidate_or_observed,
DATA:dav_acuerdo,data,dav_acuerdo,candidate_or_observed,
DATA:dav_aduana,data,dav_aduana,candidate_or_observed,
DATA:dav_aerolineas,data,dav_aerolineas,candidate_or_observed,
DATA:dav_anticipos,data,dav_anticipos,candidate_or_observed,
DATA:dav_area,data,dav_area,candidate_or_observed,
DATA:dav_autorizacionprevia,data,dav_autorizacionprevia,candidate_or_observed,
DATA:dav_balance,data,dav_balance,candidate_or_observed,
DATA:dav_banco,data,dav_banco,candidate_or_observed,
DATA:dav_calculoice,data,dav_calculoice,candidate_or_observed,
DATA:dav_calculokpiflete,data,dav_calculokpiflete,candidate_or_observed,
DATA:dav_canal,data,dav_canal,candidate_or_observed,
DATA:dav_carta,data,dav_carta,candidate_or_observed,
DATA:dav_casos,data,dav_casos,candidate_or_observed,
DATA:dav_casosdevueltos,data,dav_casosdevueltos,candidate_or_observed,
DATA:dav_casosprevios,data,dav_casosprevios,candidate_or_observed,
DATA:dav_casossubcontravencion,data,dav_casossubcontravencion,candidate_or_observed,
DATA:dav_casostarea,data,dav_casostarea,candidate_or_observed,
